r,F1 Score
0.5,0.27075949999999993
1.0,0.27075949999999993
1.5,0.27075949999999993
2.0,0.27075949999999993
2.5,0.27075949999999993
3.0,0.27075949999999993
3.5,0.27075949999999993
4.0,0.27633577000000004
4.5,0.28066690000000005
5.0,0.28518032000000004
5.5,0.29388268000000006
6.0,0.30198490000000006
6.5,0.3214219699999999
7.0,0.3440326799999999
7.5,0.3603436799999999
8.0,0.3664982299999998
8.5,0.39786709000000003
9.0,0.4230353699999999
9.5,0.44906978
10.0,0.48229584999999986
10.5,0.53083346
11.0,0.54984084
11.5,0.59351747
12.0,0.6211373900000001
12.5,0.6580456399999999
13.0,0.68568518
13.5,0.7177079999999999
14.0,0.7423927299999998
14.5,0.7592543699999997
15.0,0.7688286299999999
15.5,0.7901539899999999
16.0,0.8056075300000001
16.5,0.82110854
17.0,0.8337255999999996
17.5,0.8422322599999998
18.0,0.8555276199999997
18.5,0.85640797
19.0,0.85653546
19.5,0.8653197699999997
20.0,0.8724521200000003
20.5,0.8773038600000003
21.0,0.8831926800000001
21.5,0.8898965300000001
22.0,0.8934779799999998
22.5,0.8920847500000002
23.0,0.8947765400000003
23.5,0.8982068500000004
24.0,0.9016325800000002
24.5,0.9045605799999998
25.0,0.9037257899999999
25.5,0.9040002699999998
26.0,0.9024212999999999
26.5,0.9076214699999997
27.0,0.9057097599999999
27.5,0.9063140900000002
28.0,0.9068561499999999
28.5,0.9068543099999998
29.0,0.9080066399999999
29.5,0.9081808299999997
30.0,0.9081830799999996
