r,F1 Score
0.5,0.16475740000000005
1.0,0.16475740000000005
1.5,0.16475740000000005
2.0,0.16475740000000005
2.5,0.16475740000000005
3.0,0.20374696999999997
3.5,0.21990172999999996
4.0,0.24199611999999995
4.5,0.2696132
5.0,0.3252042500000001
5.5,0.3836249000000001
6.0,0.41676083000000014
6.5,0.4217545200000001
7.0,0.42433915999999994
7.5,0.4254263999999999
8.0,0.45898420000000006
8.5,0.4826102400000001
9.0,0.5057560799999999
9.5,0.5460784799999998
10.0,0.55108706
10.5,0.5791277099999999
11.0,0.5903866399999999
11.5,0.5732573199999996
12.0,0.60147433
12.5,0.6130950399999999
13.0,0.6393823100000001
13.5,0.6601427700000001
14.0,0.6456259799999998
14.5,0.6423599799999999
15.0,0.6282668100000002
15.5,0.6385232800000001
16.0,0.6294841400000002
16.5,0.6187959800000002
17.0,0.62049551
17.5,0.6151708300000002
18.0,0.61635745
18.5,0.6151937500000001
19.0,0.61593856
19.5,0.62420236
20.0,0.63010626
20.5,0.6283580100000002
21.0,0.63604643
21.5,0.64026154
22.0,0.6459027200000002
22.5,0.6381595600000002
23.0,0.6332701100000001
23.5,0.62809143
24.0,0.6229192100000001
24.5,0.6265353899999999
25.0,0.63039682
25.5,0.6297298200000001
26.0,0.63919545
26.5,0.63919097
27.0,0.64563277
27.5,0.6494646499999999
28.0,0.6513655000000003
28.5,0.6504530700000002
29.0,0.6549729400000001
29.5,0.6522982999999999
30.0,0.6453880999999998
