k,F1 Score
4,0.7597387599999997
5,0.7626623600000003
6,0.7597163400000001
7,0.7609671899999998
8,0.7580659900000001
9,0.7576832800000001
10,0.7549460499999998
11,0.7558623299999999
12,0.75328126
13,0.7541481499999999
14,0.75240817
15,0.7523323599999999
16,0.7501975599999996
17,0.7499367399999999
18,0.7486465499999998
19,0.7479962700000001
20,0.7464954899999998
21,0.74555341
22,0.7442640500000003
23,0.7440736500000003
24,0.7429107400000003
25,0.74251706
